"idx","in_time","out_time","location","fd_reg_date"
4957,"2017-04-27 14:56:38","2017-04-27 14:56:50","C8","2017-04-28 10:28:47"
4956,"2017-04-27 14:54:30","2017-04-27 14:56:02","C7","2017-04-28 10:28:47"
4955,"2017-04-27 14:54:07","2017-04-27 14:54:30","C7","2017-04-28 10:28:47"
4954,"2017-04-27 12:35:39","2017-04-27 12:52:40","C8","2017-04-28 10:28:47"
4953,"2017-04-27 12:30:45","2017-04-27 12:35:39","C8","2017-04-28 10:28:47"
4952,"2017-04-27 12:21:10","2017-04-27 12:30:33","O2","2017-04-28 10:28:47"
4951,"2017-04-27 12:20:08","2017-04-27 12:21:10","O2","2017-04-28 10:28:47"
4950,"2017-04-27 12:13:03","2017-04-27 12:13:49","5","2017-04-28 10:28:47"
4949,"2017-04-27 12:13:00","2017-04-27 12:13:03","C5","2017-04-28 10:28:47"
4948,"2017-04-27 12:08:48","2017-04-27 12:10:12","C5","2017-04-28 10:28:47"
4947,"2017-04-27 12:08:16","2017-04-27 12:08:48","C5","2017-04-28 10:28:47"
4946,"2017-04-27 12:02:41","2017-04-27 12:03:50","C6","2017-04-28 10:28:47"
4945,"2017-04-27 12:01:41","2017-04-27 12:02:41","C6","2017-04-28 10:28:47"
4944,"2017-04-27 11:58:22","2017-04-27 12:01:27","C4","2017-04-28 10:28:47"
4943,"2017-04-27 11:58:10","2017-04-27 11:58:22","C4","2017-04-28 10:28:47"
4942,"2017-04-27 11:45:23","2017-04-27 11:51:56","C3","2017-04-28 10:28:47"
4941,"2017-04-27 11:45:15","2017-04-27 11:45:23","C3","2017-04-28 10:28:47"
4940,"2017-04-27 11:44:14","2017-04-27 11:44:54","P1","2017-04-28 10:28:47"
4939,"2017-04-27 11:44:01","2017-04-27 11:44:14","P1","2017-04-28 10:28:47"
4938,"2017-04-27 11:38:40","2017-04-27 11:43:42","C3","2017-04-28 10:28:47"
4937,"2017-04-27 11:38:29","2017-04-27 11:38:40","C3","2017-04-28 10:28:47"
4936,"2017-04-27 11:31:41","2017-04-27 11:33:44","O1","2017-04-28 10:28:47"
4935,"2017-04-27 11:30:15","2017-04-27 11:31:41","O1","2017-04-28 10:28:47"
4934,"2017-04-27 11:11:32","2017-04-27 11:13:12","P1","2017-04-28 10:28:47"
4933,"2017-04-27 11:11:14","2017-04-27 11:11:32","P1","2017-04-28 10:28:47"
4932,"2017-04-27 10:51:43","2017-04-27 10:52:00","C5","2017-04-28 10:28:47"
4931,"2017-04-27 10:51:24","2017-04-27 10:51:43","C5","2017-04-28 10:28:47"
4930,"2017-04-27 10:35:33","2017-04-27 10:49:50","C2","2017-04-28 10:28:47"
4929,"2017-04-27 10:35:09","2017-04-27 10:35:33","C2","2017-04-28 10:28:47"
4928,"2017-04-27 10:27:37","2017-04-27 10:29:38","C2","2017-04-28 10:28:47"
4927,"2017-04-27 10:27:11","2017-04-27 10:27:37","C2","2017-04-28 10:28:47"
4926,"2017-04-27 10:22:42","2017-04-27 10:27:06","C3","2017-04-28 10:28:47"
4925,"2017-04-27 10:22:16","2017-04-27 10:22:42","C3","2017-04-28 10:28:47"
4924,"2017-04-27 10:10:50","2017-04-27 10:15:13","C6","2017-04-28 10:28:47"
4923,"2017-04-27 10:10:27","2017-04-27 10:10:50","C6","2017-04-28 10:28:47"
4922,"2017-04-26 16:01:50","2017-04-26 16:02:43","C3","2017-04-27 10:57:56"
4921,"2017-04-26 15:59:19","2017-04-26 16:00:49","C6","2017-04-27 10:57:56"
4920,"2017-04-26 15:58:56","2017-04-26 15:59:19","C6","2017-04-27 10:57:56"
4919,"2017-04-26 15:48:41","2017-04-26 15:53:29","C3","2017-04-27 10:57:56"
4918,"2017-04-26 15:48:26","2017-04-26 15:48:41","C3","2017-04-27 10:57:56"
4917,"2017-04-26 15:35:29","2017-04-26 15:39:10","C6","2017-04-27 10:57:56"
4916,"2017-04-26 15:35:14","2017-04-26 15:35:29","C6","2017-04-27 10:57:56"
4915,"2017-04-26 14:51:38","2017-04-26 14:58:02","O1","2017-04-27 10:57:56"
4914,"2017-04-26 14:51:14","2017-04-26 14:51:38","O1","2017-04-27 10:57:56"
4913,"2017-04-26 14:49:18","2017-04-26 14:51:08","C3","2017-04-27 10:57:56"
4912,"2017-04-26 14:49:01","2017-04-26 14:49:18","C3","2017-04-27 10:57:56"
4911,"2017-04-26 14:43:37","2017-04-26 14:48:54","C1","2017-04-27 10:57:56"
4910,"2017-04-26 14:43:02","2017-04-26 14:43:37","C1","2017-04-27 10:57:56"
4909,"2017-04-26 12:33:40","2017-04-26 12:36:27","P2","2017-04-27 10:57:56"
4908,"2017-04-26 12:33:19","2017-04-26 12:33:40","P2","2017-04-27 10:57:56"
4907,"2017-04-26 12:27:20","2017-04-26 12:28:27","P2","2017-04-27 10:57:56"
4906,"2017-04-26 12:27:06","2017-04-26 12:27:20","P2","2017-04-27 10:57:56"
4905,"2017-04-26 12:20:29","2017-04-26 12:26:47","C2","2017-04-27 10:57:56"
4904,"2017-04-26 12:20:05","2017-04-26 12:20:29","C2","2017-04-27 10:57:56"
4903,"2017-04-26 12:17:53","2017-04-26 12:19:53","C7","2017-04-27 10:57:56"
4902,"2017-04-26 12:17:42","2017-04-26 12:17:53","C7","2017-04-27 10:57:56"
4901,"2017-04-26 12:07:50","2017-04-26 12:11:10","O1","2017-04-27 10:57:56"
4900,"2017-04-26 12:07:23","2017-04-26 12:07:50","O1","2017-04-27 10:57:56"
4899,"2017-04-26 11:57:39","2017-04-26 12:02:10","O1","2017-04-27 10:57:56"
4898,"2017-04-26 11:57:32","2017-04-26 11:57:39","O1","2017-04-27 10:57:56"
4897,"2017-04-26 11:46:24","2017-04-26 11:52:45","O1","2017-04-27 10:57:56"
4896,"2017-04-26 11:45:09","2017-04-26 11:46:24","O1","2017-04-27 10:57:56"
4895,"2017-04-26 11:35:07","2017-04-26 11:41:55","C8","2017-04-27 10:57:56"
4894,"2017-04-26 11:34:49","2017-04-26 11:35:07","C8","2017-04-27 10:57:56"
4893,"2017-04-26 10:43:35","2017-04-26 10:44:15","C3","2017-04-27 10:57:56"
4892,"2017-04-26 10:43:27","2017-04-26 10:43:35","C3","2017-04-27 10:57:56"
4891,"2017-04-26 10:39:10","2017-04-26 10:43:07","P2","2017-04-27 10:57:56"
4890,"2017-04-26 10:38:34","2017-04-26 10:39:10","P2","2017-04-27 10:57:56"
4889,"2017-04-26 10:35:20","2017-04-26 10:38:31","P1","2017-04-27 10:57:56"
4888,"2017-04-26 10:35:03","2017-04-26 10:35:20","P1","2017-04-27 10:57:56"
4887,"2017-04-26 10:12:43","2017-04-26 10:18:27","C3","2017-04-27 10:57:56"
4886,"2017-04-26 10:12:22","2017-04-26 10:12:43","C3","2017-04-27 10:57:56"
4885,"2017-04-25 15:46:09","2017-04-25 16:21:19","O2","2017-04-26 10:16:47"
4884,"2017-04-25 15:43:34","2017-04-25 15:46:09","O2","2017-04-26 10:16:47"
4883,"2017-04-25 15:24:42","2017-04-25 15:26:08","C5","2017-04-26 10:16:47"
4882,"2017-04-25 15:12:09","2017-04-25 15:24:42","C5","2017-04-26 10:16:47"
4881,"2017-04-25 14:51:52","2017-04-25 15:08:40","P1","2017-04-26 10:16:47"
4880,"2017-04-25 14:51:39","2017-04-25 14:51:52","P1","2017-04-26 10:16:47"
4879,"2017-04-25 12:10:24","2017-04-25 12:12:49","C1","2017-04-26 10:16:47"
4878,"2017-04-25 12:09:56","2017-04-25 12:10:24","C1","2017-04-26 10:16:47"
4877,"2017-04-25 11:52:58","2017-04-25 12:06:46","C2","2017-04-26 10:16:47"
4876,"2017-04-25 11:34:13","2017-04-25 11:49:12","C5","2017-04-26 10:16:47"
4875,"2017-04-25 11:33:49","2017-04-25 11:34:13","C5","2017-04-26 10:16:47"
4874,"2017-04-25 11:31:08","2017-04-25 11:33:40","C2","2017-04-26 10:16:47"
4873,"2017-04-25 11:29:14","2017-04-25 11:31:08","C2","2017-04-26 10:16:47"
4872,"2017-04-25 11:28:29","2017-04-25 11:29:07","C3","2017-04-26 10:16:47"
4871,"2017-04-25 11:28:28","2017-04-25 11:28:29","C3","2017-04-26 10:16:47"
4870,"2017-04-25 11:21:17","2017-04-25 11:28:23","C4","2017-04-26 10:16:47"
4869,"2017-04-25 11:20:58","2017-04-25 11:21:17","C4","2017-04-26 10:16:47"
4868,"2017-04-25 11:15:40","2017-04-25 11:20:52","C5","2017-04-26 10:16:47"
4867,"2017-04-25 11:14:52","2017-04-25 11:15:40","C5","2017-04-26 10:16:47"
4866,"2017-04-25 11:07:39","2017-04-25 11:14:33","O2","2017-04-26 10:16:47"
4865,"2017-04-25 11:07:01","2017-04-25 11:07:39","O2","2017-04-26 10:16:47"
4864,"2017-04-25 11:06:06","2017-04-25 11:06:46","C5","2017-04-26 10:16:47"
4863,"2017-04-25 11:05:38","2017-04-25 11:06:06","C5","2017-04-26 10:16:47"
4862,"2017-04-25 10:59:19","2017-04-25 11:00:04","C2","2017-04-26 10:16:47"
4861,"2017-04-25 10:57:26","2017-04-25 10:59:06","O2","2017-04-26 10:16:47"
4860,"2017-04-25 10:56:54","2017-04-25 10:57:26","O2","2017-04-26 10:16:47"
4859,"2017-04-25 10:47:32","2017-04-25 10:48:37","C3","2017-04-26 10:16:47"
4858,"2017-04-25 10:47:10","2017-04-25 10:47:32","C3","2017-04-26 10:16:47"
4857,"2017-04-25 10:42:02","2017-04-25 10:47:03","C5","2017-04-26 10:16:47"
4856,"2017-04-25 10:41:26","2017-04-25 10:42:02","C5","2017-04-26 10:16:47"
4855,"2017-04-25 10:32:55","2017-04-25 10:41:18","C3","2017-04-26 10:16:47"
4854,"2017-04-25 10:32:19","2017-04-25 10:32:55","C3","2017-04-26 10:16:47"
4853,"2017-04-25 10:22:50","2017-04-25 10:32:06","T1","2017-04-26 10:16:47"
4852,"2017-04-25 10:22:24","2017-04-25 10:22:50","T1","2017-04-26 10:16:47"
4851,"2017-04-25 10:10:25","2017-04-25 10:15:02","C2","2017-04-26 10:16:47"
4850,"2017-04-25 10:09:35","2017-04-25 10:10:25","C2","2017-04-26 10:16:47"
4849,"2017-04-24 16:26:57","2017-04-24 16:27:27","C8","2017-04-24 20:13:48"
4848,"2017-04-24 16:21:14","2017-04-24 16:26:48","O2","2017-04-24 20:13:48"
4847,"2017-04-24 16:20:46","2017-04-24 16:21:14","O2","2017-04-24 20:13:48"
4846,"2017-04-24 16:11:46","2017-04-24 16:20:29","C8","2017-04-24 20:13:48"
4845,"2017-04-24 16:10:52","2017-04-24 16:11:46","C8","2017-04-24 20:13:48"
4844,"2017-04-24 15:39:40","2017-04-24 15:54:02","C5","2017-04-24 20:13:48"
4843,"2017-04-24 15:38:32","2017-04-24 15:39:40","C5","2017-04-24 20:13:48"
4842,"2017-04-24 15:24:46","2017-04-24 15:26:33","C5","2017-04-24 20:13:48"
4841,"2017-04-24 15:23:40","2017-04-24 15:24:46","C5","2017-04-24 20:13:48"
4840,"2017-04-24 13:21:43","2017-04-24 13:25:47","C1","2017-04-24 20:13:48"
4839,"2017-04-24 13:21:30","2017-04-24 13:21:43","C1","2017-04-24 20:13:48"
4838,"2017-04-24 12:42:04","2017-04-24 12:43:15","C7","2017-04-24 20:13:48"
4837,"2017-04-24 12:41:34","2017-04-24 12:42:04","C7","2017-04-24 20:13:48"
4836,"2017-04-24 12:26:12","2017-04-24 12:26:32","C2","2017-04-24 20:13:48"
4835,"2017-04-24 12:26:11","2017-04-24 12:26:12","C2","2017-04-24 20:13:48"
4834,"2017-04-24 12:22:10","2017-04-24 12:24:39","O1","2017-04-24 20:13:48"
4833,"2017-04-24 12:21:50","2017-04-24 12:22:10","O1","2017-04-24 20:13:48"
4832,"2017-04-24 12:08:06","2017-04-24 12:14:24","O2","2017-04-24 20:13:48"
4831,"2017-04-24 12:07:49","2017-04-24 12:08:06","O2","2017-04-24 20:13:48"
4830,"2017-04-24 11:52:27","2017-04-24 12:04:58","O2","2017-04-24 20:13:48"
4829,"2017-04-24 11:52:15","2017-04-24 11:52:27","O2","2017-04-24 20:13:48"
4828,"2017-04-24 11:41:55","2017-04-24 11:42:32","C1","2017-04-24 20:13:48"
4827,"2017-04-24 11:41:25","2017-04-24 11:41:55","C1","2017-04-24 20:13:48"
4826,"2017-04-24 11:32:24","2017-04-24 11:40:49","C6","2017-04-24 20:13:48"
4825,"2017-04-24 11:30:42","2017-04-24 11:32:24","C6","2017-04-24 20:13:48"
4824,"2017-04-24 11:25:51","2017-04-24 11:29:42","C1","2017-04-24 20:13:48"
4823,"2017-04-24 11:25:03","2017-04-24 11:25:51","C1","2017-04-24 20:13:48"
4822,"2017-04-24 11:12:32","2017-04-24 11:24:31","P1","2017-04-24 20:13:48"
4821,"2017-04-24 11:11:37","2017-04-24 11:12:32","P1","2017-04-24 20:13:48"
4820,"2017-04-24 11:03:07","2017-04-24 11:11:11","C3","2017-04-24 20:13:48"
4819,"2017-04-24 11:02:28","2017-04-24 11:03:07","C3","2017-04-24 20:13:48"
4818,"2017-04-24 10:51:13","2017-04-24 11:00:24","P2","2017-04-24 20:13:48"
4817,"2017-04-24 10:50:07","2017-04-24 10:51:13","P2","2017-04-24 20:13:48"
4816,"2017-04-24 10:34:45","2017-04-24 10:50:00","P1","2017-04-24 20:13:48"
4815,"2017-04-24 10:34:18","2017-04-24 10:34:45","P1","2017-04-24 20:13:48"
4814,"2017-04-24 10:30:25","2017-04-24 10:33:39","O2","2017-04-24 20:13:48"
4813,"2017-04-24 10:29:38","2017-04-24 10:30:25","O2","2017-04-24 20:13:48"
4812,"2017-04-24 10:24:54","2017-04-24 10:25:47","T1","2017-04-24 20:13:48"
4811,"2017-04-24 10:24:15","2017-04-24 10:24:54","T1","2017-04-24 20:13:48"
4810,"2017-04-24 10:19:46","2017-04-24 10:23:40","C5","2017-04-24 20:13:48"
4809,"2017-04-24 10:18:41","2017-04-24 10:19:46","C5","2017-04-24 20:13:48"
4808,"2017-04-24 10:11:43","2017-04-24 10:17:08","O2","2017-04-24 20:13:48"
4807,"2017-04-24 10:11:36","2017-04-24 10:11:43","O2","2017-04-24 20:13:48"
4806,"2017-04-24 10:10:14","2017-04-24 10:11:04","O2","2017-04-24 20:13:48"
4805,"2017-04-24 10:09:47","2017-04-24 10:10:14","O2","2017-04-24 20:13:48"
4804,"2017-04-21 16:17:25","2017-04-21 16:18:07","C5","2017-04-21 20:09:34"
4803,"2017-04-21 16:11:27","2017-04-21 16:15:03","T1","2017-04-21 20:09:34"
4802,"2017-04-21 16:10:36","2017-04-21 16:11:27","T1","2017-04-21 20:09:34"
4801,"2017-04-21 15:51:46","2017-04-21 15:55:23","T1","2017-04-21 20:09:34"
